ID,Purpose,Area,Genre,Sub-genre,Subject,Keywords,Collection,Type,Title,Sub-title,Translated-title,PALM code,Related (same),Related (omnibus),Related (support),Year,Author,Other creator1,Other creator1 ROLE,Other creator2,Other creator2 ROLE,Other creator3,Other creator3 ROLE,Illustrator,Publisher,Contributor / Project / Partner,Pages,Language 1,ISO (Language 1),Language 2,ISO (Language 2),Island,State,Learner level,VLA standard,VLA benchmark,TOC,Notes related to the issue.,Notes related to version.,Notes related to content.,DESCRIPTION,ABSTRACT,LEVEL,DOCUMENT FILENAME,THUMBNAIL FILENAME,DIGITAL SOURCE (WHERE IS THE PDF FROM),ALTERNATIVE DOCUMENT FILENAME,ALTERNATIVE THUMBNAIL FILENAME,ALTERNATIVE DIGITAL SOURCE (WHERE IS THE PDF FROM),Uploaded audio,Uploaded video,External video link,External web page link,CONTACT,Library UH link,Library UH comment,Library COM link,Library COM comment,Library UOG link,Library UOG comment,Library MICSEM link,Library MICSEM comment,OLLC number,ISBN number,COM call number
1035,Educator support,Pedagogy,Parent support,Teaching skills and best practices,Home learning,,ADI-CCN brochures for teachers and parents,Brochure,Nónnómwum Manawen Inepwiinéw mei Ánisi Mámmááritáán Káé iká Nipwáákééch nón Sukuun,Routine of Family Life for School Success,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Chuukese,chk,,,Chuuk,Chuuk State,,,,,,,,,,Y,ADI-CCN flyer #1 Routine of Family Life for School Success [Chuukese - Parent],ADI-CCN flyer #1 Routine of Family Life for School Success [Chuukese - Parent],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1036,Educator support,Pedagogy,Parent support,Teaching skills and best practices,Home learning,,ADI-CCN brochures for teachers and parents,Brochure,Routine of Family Life for School Success,,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,English,eng,,,,,,,,,,,,,,Y,ADI-CCN flyer #1 Routine of Family Life for School Success [English - Parent],ADI-CCN flyer #1 Routine of Family Life for School Success [English - Parent],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1037,Educator support,Pedagogy,Parent support,Teaching skills and best practices,Home learning,,ADI-CCN brochures for teachers and parents,Brochure,Ohiyac Luhn Sucu In Akoelah Nuhke Lutlut Wowo,Routine of Family Life for School Success,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Kosraean,kos,,,Kosrae,Kosrae State,,,,,,,,,,Y,ADI-CCN flyer #1 Routine of Family Life for School Success [Kosraean - Parent],ADI-CCN flyer #1 Routine of Family Life for School Success [Kosraean - Parent],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1038,Educator support,Pedagogy,Parent support,Teaching skills and best practices,Home learning,,ADI-CCN brochures for teachers and parents,Brochure,Mwekid en Peneinei kan kin Sowese Pweidahn Sukuhl,Routine of Family Life for School Success,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,ADI-CCN flyer #1 Routine of Family Life for School Success [Pohnpeian - Parent],ADI-CCN flyer #1 Routine of Family Life for School Success [Pohnpeian - Parent],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1039,Educator support,Pedagogy,Parent support,Teaching skills and best practices,Home learning,,ADI-CCN brochures for teachers and parents,Brochure,Rogone mithmith u tabnaw me fel’ e skul,Routine of Family Life for School Success,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Yapese,yap,,,Yap,Yap State,,,,,,,,,,Y,ADI-CCN flyer #1 Routine of Family Life for School Success [Yapese - Parent],ADI-CCN flyer #1 Routine of Family Life for School Success [Yapese - Parent],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1040,Educator support,Pedagogy,Professional development,Teaching skills and best practices,Home-school communication,,ADI-CCN brochures for teachers and parents,Brochure,Tour-Fengennin Pworóus Nefiinen Sukuun me Áán ewe Chóón Sukuun Inepwiinéw mei Ánisi Mámmááritán Káé me,Two-Way Communication with Each Student’s Family Supports Success,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Chuukese,chk,,,Chuuk,Chuuk State,,,,,,,,,,Y,ADI-CCN flyer #1 Two-Way Communication with Each Student’s Family Supports Success [Chuukese - Teacher],ADI-CCN flyer #1 Two-Way Communication with Each Student’s Family Supports Success [Chuukese - Teacher],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1041,Educator support,Pedagogy,Professional development,Teaching skills and best practices,Home-school communication,,ADI-CCN brochures for teachers and parents,Brochure,Two-Way Communication with Each Student’s Family Supports Success,,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,English,eng,,,,,,,,,,,,,,Y,ADI-CCN flyer #1 Two-Way Communication with Each Student’s Family Supports Success [English - Teacher],ADI-CCN flyer #1 Two-Way Communication with Each Student’s Family Supports Success [English - Teacher],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1042,Educator support,Pedagogy,Professional development,Teaching skills and best practices,Home-school communication,,ADI-CCN brochures for teachers and parents,Brochure,Sramsram luhn teacher nuhsin kais sie sucu el kahsruh tuhlihk lutlut se in oraclah wo lutlut lal,Two-Way Communication with Each Student’s Family Supports Success,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Kosraean,kos,,,Kosrae,Kosrae State,,,,,,,,,,Y,ADI-CCN flyer #1 Two-Way Communication with Each Student’s Family Supports Success [Kosraean - Teacher],ADI-CCN flyer #1 Two-Way Communication with Each Student’s Family Supports Success [Kosraean - Teacher],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1043,Educator support,Pedagogy,Professional development,Teaching skills and best practices,Home-school communication,,ADI-CCN brochures for teachers and parents,Brochure,Kapehsepene mwahu nan pwungen peneinei oh sukuhl kin sowesede pweida,Two-Way Communication with Each Student’s Family Supports Success,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,ADI-CCN flyer #1 Two-Way Communication with Each Student’s Family Supports Success [Pohnpeian - Teacher],ADI-CCN flyer #1 Two-Way Communication with Each Student’s Family Supports Success [Pohnpeian - Teacher],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1044,Educator support,Pedagogy,Professional development,Teaching skills and best practices,Home-school communication,,ADI-CCN brochures for teachers and parents,Brochure,Ra I taareb e pruy ma ra ayweg fare tir nge fel’ fa mon’og e school rok,Two-Way Communication with Each Student’s Family Supports Success,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Yapese,yap,,,Yap,Yap State,,,,,,,,,,Y,ADI-CCN flyer #1 Two-Way Communication with Each Student’s Family Supports Success [Yapese - Teacher],ADI-CCN flyer #1 Two-Way Communication with Each Student’s Family Supports Success [Yapese - Teacher],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1045,Educator support,Pedagogy,Parent support,Teaching skills and best practices,Home learning,,ADI-CCN brochures for teachers and parents,Brochure,"Riiriffengennin Saam, Iin, me Ewe Semiriit",Parent–Child Relationship,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Chuukese,chk,,,Chuuk,Chuuk State,,,,,,,,,,Y,ADI-CCN flyer #2 Parent-Child Relationship [Chuukese - Parent],ADI-CCN flyer #2 Parent-Child Relationship [Chuukese - Parent],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1046,Educator support,Pedagogy,Parent support,Teaching skills and best practices,Home learning,,ADI-CCN brochures for teachers and parents,Brochure,Parent–Child Relationship,,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,English,eng,,,,,,,,,,,,,,Y,ADI-CCN flyer #2 Parent-Child Relationship [English - Parent],ADI-CCN flyer #2 Parent-Child Relationship [English - Parent],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1047,Educator support,Pedagogy,Parent support,Teaching skills and best practices,Home learning,,ADI-CCN brochures for teachers and parents,Brochure,"Inmahsrlon Ninac, Pahpah ac Tuhlihk",Parent–Child Relationship,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Kosraean,kos,,,Kosrae,Kosrae State,,,,,,,,,,Y,ADI-CCN flyer #2 Parent-Child Relationship [Kosraean - Parent],ADI-CCN flyer #2 Parent-Child Relationship [Kosraean - Parent],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1048,Educator support,Pedagogy,Parent support,Teaching skills and best practices,Home learning,,ADI-CCN brochures for teachers and parents,Brochure,Nanpwungen Nohno Pahpa oh Serikan,Parent–Child Relationship,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,ADI-CCN flyer #2 Parent-Child Relationship [Pohnpeian - Parent],ADI-CCN flyer #2 Parent-Child Relationship [Pohnpeian - Parent],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1049,Educator support,Pedagogy,Parent support,Teaching skills and best practices,Home learning,,ADI-CCN brochures for teachers and parents,Brochure,Rogone puruy ko gallabthir nge fare tir,Parent–Child Relationship,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Yapese,yap,,,Yap,Yap State,,,,,,,,,,Y,ADI-CCN flyer #2 Parent-Child Relationship [Yapese - Parent],ADI-CCN flyer #2 Parent-Child Relationship [Yapese - Parent],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1050,Educator support,Pedagogy,Professional development,Teaching skills and best practices,Instructional strategies,,ADI-CCN brochures for teachers and parents,Brochure,Sukuun eew Neenien Etiwetiwen Aramas – Epwe Eew Neenien Kkachuun Aramas,School as a Welcoming Place – Creating a Sense of Community,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Chuukese,chk,,,Chuuk,Chuuk State,,,,,,,,,,Y,ADI-CCN flyer #2 School as a Welcoming Place [Chuukese - Teacher],ADI-CCN flyer #2 School as a Welcoming Place [Chuukese - Teacher],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1051,Educator support,Pedagogy,Professional development,Teaching skills and best practices,Instructional strategies,,ADI-CCN brochures for teachers and parents,Brochure,School as a Welcoming Place – Creating a Sense of Community,,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,English,eng,,,,,,,,,,,,,,Y,ADI-CCN flyer #2 School as a Welcoming Place [English - Teacher],ADI-CCN flyer #2 School as a Welcoming Place [English - Teacher],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1052,Educator support,Pedagogy,Professional development,Teaching skills and best practices,Instructional strategies,,ADI-CCN brochures for teachers and parents,Brochure,Iwen lutlut in acn Engan Se – Oraclah in Oasr Puhla se Muh Ma Lasr Kwewa,School as a Welcoming Place – Creating a Sense of Community,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Kosraean,kos,,,Kosrae,Kosrae State,,,,,,,,,,Y,ADI-CCN flyer #2 School as a Welcoming Place [Kosraean - Teacher],ADI-CCN flyer #2 School as a Welcoming Place [Kosraean - Teacher],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1053,Educator support,Pedagogy,Professional development,Teaching skills and best practices,Instructional strategies,,ADI-CCN brochures for teachers and parents,Brochure,Sukuhl wia Wasahn Koasomw Mwhau – Wasahn kairada Minimin oh Ehupene,School as a Welcoming Place – Creating a Sense of Community,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,ADI-CCN flyer #2 School as a Welcoming Place [Pohnpeian - Teacher],ADI-CCN flyer #2 School as a Welcoming Place [Pohnpeian - Teacher],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1054,Educator support,Pedagogy,Professional development,Teaching skills and best practices,Instructional strategies,,ADI-CCN brochures for teachers and parents,Brochure,Skul e biyang nib puf matwum nga – Ni be kunuy dad nga taabang,School as a Welcoming Place – Creating a Sense of Community,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Yapese,yap,,,Yap,Yap State,,,,,,,,,,Y,ADI-CCN flyer #2 School as a Welcoming Place [Yapese - Teacher],ADI-CCN flyer #2 School as a Welcoming Place [Yapese - Teacher],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1055,Educator support,Pedagogy,Parent support,Teaching skills and best practices,Home learning,,ADI-CCN brochures for teachers and parents,Brochure,Wiisan me Ttúmwúnún Eew Inepwiinéw,Family Expectations and Supervision,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Chuukese,chk,,,Chuuk,Chuuk State,,,,,,,,,,Y,ADI-CCN flyer #3 Family Expectations and Supervision [Chuukese - Parent],ADI-CCN flyer #3 Family Expectations and Supervision [Chuukese - Parent],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1056,Educator support,Pedagogy,Parent support,Teaching skills and best practices,Home learning,,ADI-CCN brochures for teachers and parents,Brochure,Family Expectations and Supervision,,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,English,eng,,,,,,,,,,,,,,Y,ADI-CCN flyer #3 Family Expectations and Supervision [English - Parent],ADI-CCN flyer #3 Family Expectations and Supervision [English - Parent],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1057,Educator support,Pedagogy,Parent support,Teaching skills and best practices,Home learning,,ADI-CCN brochures for teachers and parents,Brochure,Ke luhn Sucu ac Karihngihnyuck Nuh Selos,Family Expectations and Supervision,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Kosraean,kos,,,Kosrae,Kosrae State,,,,,,,,,,Y,ADI-CCN flyer #3 Family Expectations and Supervision [Kosraean - Parent],ADI-CCN flyer #3 Family Expectations and Supervision [Kosraean - Parent],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1058,Educator support,Pedagogy,Parent support,Teaching skills and best practices,Home learning,,ADI-CCN brochures for teachers and parents,Brochure,Dahme Peneinei kan Kasik oh Petehkpen Pwukoah,Family Expectations and Supervision,,,,,,2018,Academic Development Institute,,,,,,,,Pacific Resources for Education and Learning,Comprehensive Centre Network,1,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,ADI-CCN flyer #3 Family Expectations and Supervision [Pohnpeian - Parent],ADI-CCN flyer #3 Family Expectations and Supervision [Pohnpeian - Parent],Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
